date,kl_divergence,trigger
2016-08-21,0.3715564666144148,1
2016-08-22,0.3715564666144148,1
2016-08-23,0.3482178130433337,1
2016-08-24,0.32454069938850344,1
2016-08-25,0.35277483630563183,1
2016-08-26,0.46450140373569143,1
2016-08-27,0.4934869336424005,1
2016-08-28,0.5443415988349036,1
2016-08-29,0.5543788965308794,1
2016-08-30,0.5121326391125965,1
2016-08-31,0.5140490100376226,1
2016-09-01,0.513138228899537,1
2016-09-02,0.4897370535913046,1
2016-09-03,0.5510623666912604,1
2016-09-04,0.4353934399712909,1
2016-09-05,0.42871784639389426,1
2016-09-06,0.4080571900878301,1
2016-09-07,0.6059704412581639,1
2016-09-08,0.5848200474574184,1
2016-09-09,0.4469857469128734,1
2016-09-10,0.43826938769785506,1
2016-09-11,0.35290686461058407,1
2016-09-12,0.32255952045878966,1
2016-09-13,0.46330294481644496,1
2016-09-14,0.45120687587121244,1
2016-09-15,0.4738546779079927,1
2016-09-16,0.35390903270560925,1
2016-09-17,0.41801387415721736,1
2016-09-18,0.46481360961373414,1
2016-09-19,0.42230363355730893,1
2016-09-20,0.49632429794487787,1
2016-09-21,0.4789359086019418,1
2016-09-22,0.4605336937873356,1
2016-09-23,0.4976214537040152,1
2016-09-24,0.4556461044930533,1
2016-09-25,0.43283863659792166,1
2016-09-26,0.4144989757692205,1
2016-09-27,0.4880940848636376,1
2016-09-28,0.4291793892199579,1
2016-09-29,0.40482196708360435,1
2016-09-30,0.44963243330974745,1
2016-10-01,0.4888148068097727,1
2016-10-02,0.4264448404929126,1
2016-10-03,0.4254993863002963,1
2016-10-04,0.41801387416964636,1
2016-10-05,0.3839964887372851,1
2016-10-06,0.3839964887372851,1
2016-10-07,0.36363662960705617,1
2016-10-08,0.40992141931785675,1
2016-10-09,0.4941131625679602,1
2016-10-10,0.4461969257407367,1
2016-10-11,0.5170321289492555,1
2016-10-12,0.43134670842126543,1
2016-10-13,0.5503254041325726,1
2016-10-14,0.4992973157538816,1
2016-10-15,0.3925396827477156,1
2016-10-16,0.47541948384338484,1
2016-10-17,0.48306726977995035,1
2016-10-18,0.5787316733426349,1
2016-10-19,0.5383996924660374,1
2016-10-20,0.436948273457535,1
